,publish_date,headline_text,GPT_category,GPT_confidence_score
663090,20120102,christchurch mayor bob parker speaks about nz,World,0.9
671156,20120209,capello quits as englands manager,Sports,1
563459,20100915,robotic dairy calms cows but gives farmer nightmare,Sci/Tech,0.9
487170,20090909,crime stats deliver mixed results,World,0.7
239218,20060526,grim winter rain outlook for eastern australia,World,0.9
1083129,20170524,firefighters concerned about new cancer legislation,Other,0.9
816489,20130904,media call brad haddin,Sports,0.9
448477,20090310,couple face court on botched robbery charges,World,0.95
375750,20080409,swan says he is in step with rba,Business,0.9
16697,20030511,bush donates funds to tornado victims,World,0.9
1202240,20200611,george floyds brother urge us congress to pass police reforms,World,0.9
900038,20140902,police seize millions in huge fake viagra swoop,World,0.9
773282,20130325,guam senator urges preparation for north korea strike,World,0.95
798557,20130628,boarder jailed for beating landlord to death,World,0.9
27342,20030630,nightmare race for f1s milestone men,Sports,0.95
316045,20070709,police investigate teen pedestrian death,World,0.9
724465,20120914,abc business news and market analysis,Business,1
548112,20100704,a team falls in one dayer,Sports,0.9
439560,20090128,act sports groups score govt grants,Sports,0.9
108503,20040811,swimming not just australia versus us,Sports,0.9
942960,20150407,central darling shire council to push ahead with sale of 96 pro,Business,0.9
66991,20040116,wolves seek to turn premiership hierarchy upside,Sports,0.9
332471,20070921,teenager jailed for attack on 83 year old,World,0.9
216299,20060202,toddler killed in dog attack,World,0.9
241928,20060608,howard orders holiday petrol price monitoring,Business,0.85
1166641,20190604,snow falls near eukey in se queensland,World,0.7
580724,20101208,loss of houses threat to school,World,0.7
121771,20041016,us reportedly arrests fallujah negotiator,World,0.9
1074637,20170320,asylum seekers make perilous crossing into canada,World,0.9
755139,20130116,guardian launching australian online edition,World,0.9
45678,20030929,welfare group says rents could squeeze out act,Business,0.9
984006,20151007,worlds fastest sailing canegrower gains nationals line honours,Sports,0.9
668618,20120128,test still in the balance,Sports,0.7
713653,20120806,cairns applauds g 20 decision,World,0.9
1103768,20171024,power bill debt distress,Business,0.9
197833,20051101,book dispels archer melbourne cup myth,Sports,0.9
1018379,20160330,turnbull looks to correct tax failure,Business,0.9
